"cell_id","sdimx","sdimy","cell_type","sample_id","slice_id","class_label","label"
"100114071886698732371633880329662930245",-6788.23350574522,-4364.55300023513,"L5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L5_IT_3"
"100459782804449043401525193881266007504",-4845.4278039443,-3937.38485551319,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_1"
"100602218359587775267069088452577323537",-4331.34572930018,-4186.26671973374,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"10062022343181702877024164619470737844",-4598.00436333372,-3889.20380683805,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
"100849127151444796767330849618210621259",-5433.22623714162,-4059.32648945316,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_2"
"100869211873470277601554190131246279212",-3949.65922528763,-5053.36958952127,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"101094153992086563757914780783459867829",-5257.0517051961,-4696.57288319651,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"10115851704417008951069150064407447402",-3850.82333637595,-5488.13500257667,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_3"
"101224313658469070251824028383717365033",-4226.17202411882,-4283.97090434086,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"101330089820840618651144583271755596163",-4855.86010246422,-4804.16327668466,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_3"
"101341757180261994743948411771730963255",-3978.2548327771,-5022.13050016259,"L6 CT","mouse1_sample5","mouse1_slice212","Glutamatergic","L6_CT_5"
"101389929762330838429106479898394060332",-5033.95696819146,-3955.73572803831,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_1"
"101406480644360972949811887091135662929",-5259.76378403756,-4049.97446755022,"L4/5 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L45_IT_SSp_2"
"101480820590021950083669558940116655327",-6460.83287270617,-3897.72802128748,"L2/3 IT","mouse1_sample5","mouse1_slice212","Glutamatergic","L23_IT_3"
