"cell_id","sdimx","sdimy","cell_type"
"cell_1",1632.02,-1305.7,"L2/3 eNeuron"
"cell_2",1589.47,-669.51,"L2/3 eNeuron"
"cell_3",1539.89,-1185.9,"L2/3 eNeuron"
"cell_5",1477.85,-763.87,"L2/3 eNeuron"
"cell_7",1291.34,-957.71,"L2/3 eNeuron"
"cell_9",1218.73,-806.56,"L2/3 eNeuron"
"cell_10",1192.59,-1800.1,"L2/3 eNeuron"
"cell_11",1202.12,-1886,"L2/3 eNeuron"
"cell_12",1183.07,-950.97,"L2/3 eNeuron"
"cell_14",1128.82,-1596.5,"L2/3 eNeuron"
"cell_15",1115.86,-1021.4,"L2/3 eNeuron"
"cell_17",1074.92,-391.16,"L2/3 eNeuron"
"cell_18",1045.9,-597.81,"L2/3 eNeuron"
"cell_20",1024.7,-469.54,"L2/3 eNeuron"
"cell_21",1017.8,-1636.6,"L2/3 eNeuron"
"cell_25",938.6,-1594.2,"L2/3 eNeuron"
"cell_27",923.3,-560.36,"L2/3 eNeuron"
"cell_28",912.5,-742.3,"L2/3 eNeuron"
"cell_29",913.1,-1751.6,"L2/3 eNeuron"
"cell_30",882,-668.36,"L2/3 eNeuron"
"cell_31",810.5,-241.57,"L2/3 eNeuron"
"cell_32",800.9,-624.11,"L2/3 eNeuron"
"cell_33",802.4,-103.12,"L2/3 eNeuron"
"cell_34",798.2,-449.39,"L2/3 eNeuron"
"cell_39",612.9,-1363.8,"L2/3 eNeuron"
"cell_52",1838.05,-469.57,"L2/3 eNeuron"
"cell_53",1831.19,-1090.2,"L2/3 eNeuron"
"cell_55",1785.95,-981.25,"L4 eNeuron"
"cell_56",1769.95,-390.59,"L2/3 eNeuron"
"cell_57",1734.44,-1117,"L2/3 eNeuron"
"cell_58",1687.25,-520.51,"L2/3 eNeuron"
"cell_59",1664.57,-980.24,"L2/3 eNeuron"
"cell_61",1508.52,-527.31,"L2/3 eNeuron"
"cell_63",1369.49,-571.13,"L2/3 eNeuron"
"cell_64",1839.07,-1458,"L4 eNeuron"
"cell_65",1802.32,-1738.7,"L4 eNeuron"
"cell_67",1812.68,-1319.2,"L2/3 eNeuron"
"cell_68",1797.44,-1875.4,"L2/3 eNeuron"
"cell_69",1712.56,-1428.9,"L2/3 eNeuron"
"cell_70",1679.39,-152.2,"L2/3 eNeuron"
"cell_71",1649.39,-334.16,"L2/3 eNeuron"
"cell_72",1632.03,-1623.4,"L2/3 eNeuron"
"cell_73",1575.96,-228.45,"L2/3 eNeuron"
"cell_74",1575.84,-1829.6,"L2/3 eNeuron"
"cell_75",1556.42,-1741.8,"L2/3 eNeuron"
"cell_76",1566.09,-1418.1,"L2/3 eNeuron"
"cell_77",1551.13,-363.87,"L2/3 eNeuron"
"cell_78",1492.65,-291.89,"L2/3 eNeuron"
"cell_79",1474.76,-1745,"L2/3 eNeuron"
"cell_80",1466.01,-1617.6,"L2/3 eNeuron"
"cell_81",1449.26,-1238,"L2/3 eNeuron"
"cell_82",1457.75,-1875.9,"L4 eNeuron"
"cell_83",1457.65,-402.8,"L2/3 eNeuron"
"cell_84",1444.82,-238.72,"L2/3 eNeuron"
"cell_85",1440.75,-1298.3,"L2/3 eNeuron"
"cell_88",1400.12,-448.36,"L2/3 eNeuron"
"cell_89",1357.53,-699.92,"L4 eNeuron"
"cell_90",1351.5,-1923.8,"L4 eNeuron"
"cell_91",1339.72,-370.94,"L2/3 eNeuron"
"cell_92",1298.05,-781.88,"L2/3 eNeuron"
"cell_93",1244.38,-191.29,"L2/3 eNeuron"
"cell_95",1228.13,-739.38,"L2/3 eNeuron"
"cell_96",1210.65,-374.81,"L4 eNeuron"
"cell_97",1208,-1502.4,"L2/3 eNeuron"
"cell_98",1171.89,-266,"L2/3 eNeuron"
"cell_99",1156.03,-1357.2,"L2/3 eNeuron"
"cell_101",1109.02,-1308.9,"L2/3 eNeuron"
"cell_102",1124.85,-745.68,"L4 eNeuron"
"cell_103",1106.51,-1460.8,"L2/3 eNeuron"
"cell_104",1064.34,-799.79,"L4 eNeuron"
"cell_108",956.3,-113.16,"L2/3 eNeuron"
"cell_109",939.4,-280.75,"L2/3 eNeuron"
"cell_111",894.4,-234.96,"L2/3 eNeuron"
"cell_112",891.1,-404.65,"L2/3 eNeuron"
"cell_113",874.3,-1127,"L2/3 eNeuron"
"cell_115",775.7,-796.06,"L2/3 eNeuron"
"cell_119",1915.47,-1378.7,"L4 eNeuron"
"cell_120",1896.97,-1547.5,"L4 eNeuron"
"cell_121",1811.07,-1634,"L2/3 eNeuron"
"cell_122",3248.83,-681.3,"L4 eNeuron"
"cell_123",3142.78,-773.77,"L4 eNeuron"
"cell_125",3076.52,-682.46,"L4 eNeuron"
"cell_127",3013.1,-594.86,"L4 eNeuron"
"cell_128",2990.89,-837.63,"L4 eNeuron"
"cell_129",2904.34,-667.59,"L4 eNeuron"
"cell_130",2865.11,-575.64,"L4 eNeuron"
"cell_131",2863.69,-830.55,"L4 eNeuron"
"cell_132",2773.15,-822.66,"L4 eNeuron"
"cell_133",2719.27,-926.19,"L4 eNeuron"
"cell_134",3561.82,-1601.6,"L4 eNeuron"
"cell_135",3523.37,-1354.5,"L5 eNeuron"
"cell_136",3495.02,-1800.3,"L4 eNeuron"
"cell_138",3423.84,-1597.6,"L5 eNeuron"
"cell_139",3420.45,-911.59,"L4 eNeuron"
"cell_140",3388.07,-1512.5,"L4 eNeuron"
"cell_141",3289.95,-1083.2,"L4 eNeuron"
"cell_142",3286.12,-1606.3,"L4 eNeuron"
"cell_143",3229.47,-1456.6,"L4 eNeuron"
"cell_144",3163.33,-1464.7,"L4 eNeuron"
"cell_145",3140.89,-1080.9,"L4 eNeuron"
"cell_147",3144.8,-1814.4,"L4 eNeuron"
"cell_148",3126.12,-1320.5,"L4 eNeuron"
"cell_149",3099.55,-376.66,"L4 eNeuron"
"cell_150",3054.52,-301.91,"L4 eNeuron"
"cell_152",3039.23,-1224.7,"L4 eNeuron"
"cell_153",3011.5,-407.08,"L4 eNeuron"
